Feature,Importance
TotalCharges,0.10020340707190857
tenure,0.09386334430615062
MonthlyCharges,0.08256320315014376
PaymentMethod_Electronic check,0.026752270131125154
InternetService_Fiber optic,0.02540505776953751
Contract_Two year,0.023147750553559616
OnlineSecurity_Yes,0.02067872389423923
TechSupport_Yes,0.019362058733251215
Contract_One year,0.01763195755739686
PaperlessBilling_Yes,0.01732405476697765
gender_Male,0.016032042860430622
OnlineBackup_Yes,0.014936774666501756
Partner_Yes,0.014622783780812346
Dependents_Yes,0.013113402690109214
SeniorCitizen_Yes,0.012315967621403962
DeviceProtection_Yes,0.012084216621477744
MultipleLines_Yes,0.011799423700098012
StreamingMovies_Yes,0.011559836851975789
StreamingTV_Yes,0.011189151040297215
PaymentMethod_Credit card (automatic),0.010060531006613018
OnlineBackup_No internet service,0.009046943049316487
PaymentMethod_Mailed check,0.008249483830355552
TechSupport_No internet service,0.007137541901061844
InternetService_No,0.007019649120156502
StreamingTV_No internet service,0.005825350616548634
OnlineSecurity_No internet service,0.0044004288945406695
PhoneService_Yes,0.003911216492664873
StreamingMovies_No internet service,0.0035495382412143546
DeviceProtection_No internet service,0.0034447850424409714
MultipleLines_No phone service,0.003339157602716278
customerID_4083-EUGRJ,0.0006132240044914307
customerID_0137-UDEUO,0.0006114555515473631
customerID_6776-TLWOI,0.0005743613893079382
customerID_1449-XQEMT,0.0005333321293501741
customerID_3400-ESFUW,0.0005260785562613117
customerID_2484-DGXPZ,0.0005249464380907829
customerID_4488-PSYCG,0.0005205246229555302
customerID_9986-BONCE,0.0005019352170759277
customerID_6323-AYBRX,0.0005015200924390477
customerID_7812-FZHPE,0.0004972167682323444
customerID_4903-UYAVB,0.00047878067234162855
customerID_0516-VRYBW,0.0004779962070754408
customerID_1009-IRMNA,0.0004721665212539871
customerID_0607-DAAHE,0.0004689509357544008
customerID_1577-HKTFG,0.00046353000475879874
customerID_7551-JOHTI,0.0004629770280494268
customerID_5616-PRTNT,0.00046252487807216366
customerID_1087-UDSIH,0.0004622559691132498
customerID_8515-OCTJS,0.00045520338961267903
customerID_6615-ZGEDR,0.00045487316609946806
customerID_8053-WWDRO,0.0004445462128844811
customerID_1452-VOQCH,0.00044210281335533034
customerID_5688-KZTSN,0.0004366940775796743
customerID_4745-LSPLO,0.0004307392795300186
customerID_1066-JKSGK,0.00042831851251542974
customerID_9063-ZGTUY,0.00042726414578343443
customerID_0761-AETCS,0.0004255218235795634
customerID_2332-EFBJY,0.0004248435004067104
customerID_0268-QKIWO,0.0004237931888731548
customerID_2876-VBBBL,0.00042080157383023067
customerID_0203-HHYIJ,0.0004203071799928681
customerID_3512-IZIKN,0.000419503504070718
customerID_7317-GGVPB,0.00041881611623345247
customerID_4946-EDSEW,0.0004171960776500486
customerID_4597-ELFTS,0.000416284102940676
customerID_2667-WYLWJ,0.00041481158339341974
customerID_9025-ZRPVR,0.0004117701951045431
customerID_4464-JCOLN,0.0004103652829931299
customerID_6532-YLWSI,0.00040877325081257614
customerID_3506-LCJDC,0.0004084574662961972
customerID_7951-QKZPL,0.0004083773168053573
customerID_4895-TMWIR,0.00040591108685739146
customerID_7439-DKZTW,0.00040455350386777204
customerID_2359-QWQUL,0.0004033291254648967
customerID_9572-MTILT,0.0004027716886011684
customerID_5143-WMWOG,0.000401477958703765
customerID_2321-OMBXY,0.00040060059577619377
customerID_0278-YXOOG,0.0004004755768041617
customerID_3192-NQECA,0.00039842268474289417
customerID_3148-BLQJT,0.00039741449707938933
customerID_2320-JRSDE,0.0003959136573985382
customerID_2002-MZHWP,0.00039546372195299763
customerID_3705-PSNGL,0.000394021360959784
customerID_6682-QJDGB,0.00039337757846449943
customerID_8869-TORSS,0.00039234467097452435
customerID_5150-ITWWB,0.00038999474848835653
customerID_2225-ZRGSG,0.00038606827801044425
customerID_4106-HADHQ,0.0003860343165744403
